"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV"
"e1f3e43779fc7501b282c3d22e4ad0fc","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_iners","e1f3e43779fc7501b282c3d22e4ad0fc"
"c9ee2d8d47aa23d40103fb37873dfa78","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"c9ee2d8d47aa23d40103fb37873dfa78"
"444a7c63b653c00a6a4303b40d645823","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"444a7c63b653c00a6a4303b40d645823"
"0c4d5bf577871d3b9778ed968794e772","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_crispatus","0c4d5bf577871d3b9778ed968794e772"
"f300c11b1c2b9f27850d58a6fc7358d4","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,"f300c11b1c2b9f27850d58a6fc7358d4"
"a971f1996d09406ff2e2dcb61829bb1c","Unassigned",NA,NA,NA,NA,NA,NA,"a971f1996d09406ff2e2dcb61829bb1c"
"83948f744ba9e0e5deadd88cf453948a","Unassigned",NA,NA,NA,NA,NA,NA,"83948f744ba9e0e5deadd88cf453948a"
"00da7f49bf0f795b67ac4212826ea217","Unassigned",NA,NA,NA,NA,NA,NA,"00da7f49bf0f795b67ac4212826ea217"
