,Domain,Phylum,Class,Order,Family,Genus,Species,ASV,,,,
6c53de8ee257eab49553f4ee04aec14a,Unassigned,NA,NA,NA,NA,NA,NA,6c53de8ee257eab49553f4ee04aec14a,,,,uncultured bacteria
dbc2edc8c44819aab93ac9a1405fd7af,Unassigned,NA,NA,NA,NA,NA,NA,dbc2edc8c44819aab93ac9a1405fd7af,,,,streptomyces
