Feature ID	Taxon	Confidence
1ac1e8b25b5c225439e897002c25c609	Unassigned	0.6553533018989455
547b6367f233774eb9967dc908a8af79	Unassigned	0.8188222997251026
52d64c9afa6ddf16d93fdcdf702a4f36	Unassigned	0.8479292453089382
b8d7f52f58f0ab6f7796721baa4f7b1e	Unassigned	0.44260522064922014
9cdc58e77c70ef3139903d6ae5e99d84	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9951838713453249
c9ee2d8d47aa23d40103fb37873dfa78	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9955631434106562
0e98eccf7d59cb1fa52c15ca953fe542	Unassigned	0.6461666654469342
d258a0ea6f67d64fc8356115945003fa	Unassigned	0.7485626365126539
bbf17e9b22bd5278cdef72f75e1dcf49	Unassigned	0.8878779425825405
994bde5314bf9138e6a5884437fa9974	d__Bacteria	0.7271711024560072
5658f19477c4f0688e74d69701d1c75b	Unassigned	0.7830145555471002
a971f1996d09406ff2e2dcb61829bb1c	Unassigned	0.46469949712405423
687b643d0781b04670483fbb79851c53	Unassigned	0.8279089352530178
50649d1c638c7c7395010f4344cbafb8	Unassigned	0.8176611896065958
09a089478b7b99dcb7e80e48fdde2bb8	Unassigned	0.4816359216588384
3bcfe7a72a32bbe9f349aa544c808781	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_iners	0.9899759500223357
f300c11b1c2b9f27850d58a6fc7358d4	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.9912955009390008
444a7c63b653c00a6a4303b40d645823	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9769079065242491
0dbce65df1cd41b709b4446aeeda6de1	Unassigned	0.6980737435287474
19f0565cb965a02307f830be2333c7b8	Unassigned	0.9233849039313022
6c31428a358b936e0473b34f63b438ab	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.9997822866074084
793f95f2c6ec8ec7acdb659d57aaa9f4	Unassigned	0.9316541215059586
e7558106463dbace27b9cf27ca6ab442	Unassigned	0.5960017376954303
60f64603294dafb869b0852c61ad79bc	Unassigned	0.372400336367954
70f181b3f848b50dd1fd77b225854ee5	Unassigned	0.793858954179837
83948f744ba9e0e5deadd88cf453948a	Unassigned	0.3614727265622747
e223c2d3f16b5d26d309558fde2fdbaf	Unassigned	0.7077656559121819
4986bddaf028faf143bde02875d1853d	d__Archaea	0.7085230529229513
8ccddbeebb3133b268922bb27ecd5839	Unassigned	0.8354559477089112
77d14d1c772b51a16e5983d6bca87c15	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9872444798388834
f1dbfc3bcb2ed09f55dcc05495f8275b	Unassigned	0.8689829060414026
58b3df535db340ff8d87cec8e2ec0e56	d__Bacteria	0.8239094094280142
d1095e720918f615071d0a0c60e784b7	Unassigned	0.6453150991091802
ab9a72d94585ed02ee38ca889c46126a	d__Bacteria	0.816418039729207
9126126417623d31c4640367471d2cb5	Unassigned	0.560223142931707
6621556a4b275f28973b1a16555b54de	Unassigned	0.471773054815941
2a7e33c9a86f617f5cabb9472d90e6a4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	0.9734174142082738
e1f3e43779fc7501b282c3d22e4ad0fc	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_iners	0.7686561833590323
80665cffce2627b6c7be806c38faa2b1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9695440783696814
1fde48464b31018bed6fe7a09a95af5a	Unassigned	0.4472762246119971
c86b30d4fbfd714b688a1380148e703c	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__uncultured_bacterium	0.7931950775146207
cd76e6382c3a7d14ba9efc4b443b064c	Unassigned	0.8558617021754525
436a6aa3a2aa97038eed60fb3125853c	Unassigned	0.7016254616583488
ca611c5615850902549e71d76db515c7	Unassigned	0.6790990606431018
179d9b1319bfebeb8bda1953341ac07c	Unassigned	0.7362188880675093
393843fee7ae8d82515ecfee50dc00fa	Unassigned	0.7079513671427717
2a6bdcf39bb4cefb0d7800a0d4b40ce1	Unassigned	0.9255976158522589
2ca207fec46370ac2498f788e2a002cc	Unassigned	0.6492175311168161
af0e8713c4cc3cee163e3d0c067062e5	Unassigned	0.9020094834983765
956525d95a48ef814d00b6f00801d65d	Unassigned	0.3323237506439355
b64423632878090038be00e42fb7cea3	Unassigned	0.8912461427520589
