"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV"
"77d14d1c772b51a16e5983d6bca87c15","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"77d14d1c772b51a16e5983d6bca87c15"
"20bfd7174e056f5ee1ab5629ea23c3c3","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,"20bfd7174e056f5ee1ab5629ea23c3c3"
"ce81924490163a943e09e73c3e4b704a","Unassigned",NA,NA,NA,NA,NA,NA,"ce81924490163a943e09e73c3e4b704a"
"9b40888adb8765b9f510a40561d38ccc","Unassigned",NA,NA,NA,NA,NA,NA,"9b40888adb8765b9f510a40561d38ccc"
"ca611c5615850902549e71d76db515c7","Unassigned",NA,NA,NA,NA,NA,NA,"ca611c5615850902549e71d76db515c7"
