"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV"
"9cdc58e77c70ef3139903d6ae5e99d84","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"9cdc58e77c70ef3139903d6ae5e99d84"
"c9ee2d8d47aa23d40103fb37873dfa78","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"c9ee2d8d47aa23d40103fb37873dfa78"
"444a7c63b653c00a6a4303b40d645823","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"444a7c63b653c00a6a4303b40d645823"
"0c4d5bf577871d3b9778ed968794e772","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_crispatus","0c4d5bf577871d3b9778ed968794e772"
"a971f1996d09406ff2e2dcb61829bb1c","Unassigned",NA,NA,NA,NA,NA,NA,"a971f1996d09406ff2e2dcb61829bb1c"
"2a6bdcf39bb4cefb0d7800a0d4b40ce1","Unassigned",NA,NA,NA,NA,NA,NA,"2a6bdcf39bb4cefb0d7800a0d4b40ce1"
"ceb261aa236c0c5e4172e2c995346bd0","Unassigned",NA,NA,NA,NA,NA,NA,"ceb261aa236c0c5e4172e2c995346bd0"
