"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV"
"444a7c63b653c00a6a4303b40d645823","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"444a7c63b653c00a6a4303b40d645823"
"70316592ec6142970252f43f905212a1","Unassigned",NA,NA,NA,NA,NA,NA,"70316592ec6142970252f43f905212a1"
"24b580b7b3f7a9011f9393ebbf23de4c","Unassigned",NA,NA,NA,NA,NA,NA,"24b580b7b3f7a9011f9393ebbf23de4c"
"60f64603294dafb869b0852c61ad79bc","Unassigned",NA,NA,NA,NA,NA,NA,"60f64603294dafb869b0852c61ad79bc"
"19f0565cb965a02307f830be2333c7b8","Unassigned",NA,NA,NA,NA,NA,NA,"19f0565cb965a02307f830be2333c7b8"
