"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV"
"e1f3e43779fc7501b282c3d22e4ad0fc","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_iners","e1f3e43779fc7501b282c3d22e4ad0fc"
"f300c11b1c2b9f27850d58a6fc7358d4","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,"f300c11b1c2b9f27850d58a6fc7358d4"
"83948f744ba9e0e5deadd88cf453948a","Unassigned",NA,NA,NA,NA,NA,NA,"83948f744ba9e0e5deadd88cf453948a"
